,16.199,6.4772
0,1.5331,-1.0006
1,19.21,10.121
2,-16.531,-6.8566
3,15.784,5.0453
4,19.559,10.366
5,18.329,8.5419
6,20.304000000000002,9.1822
7,19.639,10.505999999999998
8,5.0514,0.43964
9,-16.545,-6.6456
10,18.54,7.9203
11,-17.153,-7.5212
12,-16.905,-6.7126
13,-20.024,-9.4737
14,13.937000000000001,3.8619
15,19.361,8.8867
16,19.147000000000002,8.2029
17,-19.278,-8.4669
18,-1.4497,0.26095
19,18.473,7.4331
20,21.445999999999998,11.787
21,-1.1255,-1.3423
22,-18.195,-8.8189
23,18.368,8.016
24,-0.94962,0.4424
25,-19.662,-8.1375
26,-14.392000000000001,-3.9207
27,-16.515,-6.5529
28,0.8584700000000001,-0.67735
29,-19.455,-8.6307
30,-1.7165,0.8462200000000001
31,-1.5348,0.596
32,-17.053,-6.4024
33,19.337,9.0329
34,2.5707,-0.71186
35,2.6263,0.15878
36,-20.291,-9.587
37,-20.91,-11.213
38,13.218,3.5754
39,-21.713,-9.6675
40,-17.507,-5.9435
41,0.35104,0.745
42,-21.343000000000004,-9.9649
43,20.445999999999998,10.68
44,4.0993,0.56763
45,14.940999999999999,4.829
46,4.6055,0.39118
47,0.88575,0.74183
48,-21.895,-12.269
49,-11.127,-1.9926
50,-1.2134,0.093447
51,8.3077,-0.54811
52,20.999000000000002,12.248
53,-21.084,-11.700999999999999
54,17.457,7.3319
55,20.442,10.128
56,-18.726,-8.6154
57,0.54203,0.11001
58,-17.813,-7.519
59,19.008,7.2946
60,0.10344,0.11167
61,19.055999999999997,8.4415
62,16.504,7.425
63,18.53,8.5011
64,19.701,8.6454
65,15.886,6.6168
66,-21.064,-9.7407
67,19.021,7.9692
68,1.6293,1.1221
69,0.38008000000000003,0.056784
70,1.7866,0.11135
71,-3.9725,-0.049032
72,-17.878,-7.4728
73,-21.576,-10.702
74,-3.8245,0.24045
75,-15.35,-6.5957
76,2.7199,0.023681999999999998
77,-3.3311,0.18124
78,-3.2586,-0.56472
79,13.806,3.571
80,-16.988,-7.4234
81,-14.734000000000002,-5.9952
82,-18.97,-9.253
83,3.5331,-1.4662
84,-18.54,-9.9286
85,1.1386,0.32998
86,-18.73,-7.7015
87,-20.155,-9.1591
88,-19.002,-8.4935
89,-15.503,-7.3445
90,19.589000000000002,11.238
91,4.1578,0.8995700000000001
92,-18.19,-7.851
93,16.204,5.6906
94,-15.624,-4.7437
95,-4.0499,0.70563
96,-0.9739,-0.51459
97,17.855,8.9992
98,-2.3357,-0.33912
99,-17.021,-7.2478
100,-17.160999999999998,-6.9061
101,17.84,7.1881
102,-17.371,-8.0577
103,-17.322,-9.2274
104,20.273,9.7243
105,4.8662,0.24739
106,-19.207,-8.4804
107,-21.041,-12.698
108,-18.703,-8.0143
109,-1.6233,-0.8686799999999999
110,19.317999999999998,9.599
111,22.654,12.991
112,20.982,11.677999999999999
113,19.867,10.655999999999999
114,-2.0436,0.7666
115,19.424,9.2945
116,-21.761999999999997,-11.880999999999998
117,-19.249000000000002,-9.3192
118,-17.748,-7.8345
119,17.922,8.4535
120,-15.245999999999999,-3.0234
121,-16.804000000000002,-7.537999999999999
122,-0.84449,0.29286
123,-2.9879,-0.49104
124,14.025,4.9539
125,5.0972,-0.62547
126,-19.182000000000002,-9.7719
127,18.39,9.0037
128,-1.5331,0.18666
129,18.345,7.9034
130,17.68,6.8260000000000005
131,2.0731,-1.0424
132,16.352,5.3022
133,1.1465,1.015
134,2.5176,-0.099723
135,15.005999999999998,3.9672
136,14.392000000000001,4.3746
137,-15.232000000000001,-5.4763
138,-14.825,-6.0853
139,16.82,5.4142
140,19.542,9.043
141,2.853,0.35907
142,18.621,8.1798
143,-0.68094,-0.9156200000000001
144,-16.012999999999998,-7.3263
145,16.805999999999997,6.9206
146,-16.359,-6.4787
147,2.1503,-0.82116
148,20.868000000000002,10.005
149,-19.239,-9.0278
150,-1.8724,0.86444
151,1.5056,0.093816
152,-18.044,-7.3863
153,-16.991,-7.9872
154,5.8706,0.16683
155,21.058000000000003,9.6372
156,1.2863,0.49456999999999995
157,-12.81,-4.7645
158,-21.749000000000002,-11.603
159,1.8878,0.16773
160,15.35,5.7514
161,19.351,8.5174
162,-0.79689,-1.1815
163,16.755,6.5124
164,17.758,9.277999999999999
165,21.035,11.901
166,1.1387,-0.72502
167,2.9111,0.38024
168,-4.1575,-0.4497
169,-16.646,-6.6739999999999995
170,-2.2241,-0.98339
171,1.5075,1.284
172,-20.082,-10.644
173,2.8954,-0.90822
174,-18.37,-8.4588
175,-4.062,-0.71231
176,17.05,6.6014
177,19.381,8.8196
178,-14.072000000000001,-3.9801
179,-18.523,-8.7226
180,-15.527999999999999,-5.4521
181,-21.519000000000002,-10.645
182,17.975,7.2814
183,17.500999999999998,7.0161
184,19.153,8.6939
185,16.31,6.6868
186,-2.05,0.23067
187,19.519000000000002,10.457
188,-2.9632,-0.44456
189,-18.343,-8.3225
190,17.267,7.3469
191,-19.154,-7.886
192,1.9753,0.34281999999999996
193,2.1067,0.08180599999999999
194,14.694,5.6897
195,-9.0602,0.42173999999999995
196,-0.76984,0.40157
197,-20.59,-10.634
198,-21.585,-12.807
199,15.334000000000001,7.3352
200,1.217,-1.3929
201,-21.783,-13.089
202,20.551,9.4931
203,-8.4115,0.045687
204,16.025,6.0489999999999995
205,-16.819000000000003,-6.8307
206,16.355,5.3736
207,1.9002,0.16668
208,-0.12454000000000001,-0.14800000000000002
209,-20.026,-10.748
210,-21.228,-9.5831
211,2.8892,0.24758000000000002
212,18.197,6.9166
213,-1.6691,1.0496
214,-2.4989,-0.76662
215,6.9286,1.1757
216,-0.1843,0.69724
217,2.0119,-0.16272
218,1.706,0.5281100000000001
219,-18.659000000000002,-8.2801
220,17.223,6.6661
221,-5.4814,-0.073903
222,19.733,8.2954
223,-4.4849,-0.24402
224,-20.811,-11.383
225,-13.7,-2.5662
226,3.4059,0.8221200000000001
227,18.166,8.1074
228,-18.886,-8.2901
229,-4.0519,-0.008769299999999999
230,15.087,5.2704
231,-19.512999999999998,-9.1291
232,16.893,7.5743
233,-17.807000000000002,-9.5481
234,-20.480999999999998,-10.195
235,19.631,9.8528
236,-16.404,-4.9277
237,3.2133,-0.21099
238,-20.579,-11.022
239,17.601,8.0093
240,8.1255,-0.54201
241,-18.319000000000003,-8.3361
242,-17.879,-8.7837
243,-18.427,-8.2927
244,-0.53147,0.12939
245,-1.8159999999999998,0.48463999999999996
246,-17.234,-6.3068
247,16.984,5.8301
248,-18.098,-8.0746
249,16.776,8.2552
250,18.348,8.5715
251,-17.197,-7.0329999999999995
252,0.20897,-0.35277
253,-19.942999999999998,-8.8482
254,18.647000000000002,8.1389
255,-15.069,-4.2757
256,16.756,6.7813
257,20.975,11.919
258,-1.2628,-0.35416
259,18.53,8.822000000000001
260,19.636,10.186
261,3.8334,0.47725
262,0.63218,-0.12395999999999999
263,-0.7243,-0.57563
264,-22.136,-11.216
265,-19.146,-10.993
266,3.0812,0.22834000000000002
267,9.2632,0.0099684
268,-17.521,-7.4667
269,-18.906,-9.8557
